1. The Shawshank Redemption,1994,2h 22m,
2. The Godfather,1972,2h 55m,
3. The Dark Knight,2008,2h 32m,
4. The Godfather Part II,1974,3h 22m,
5. 12 Angry Men,1957,1h 36m,
6. Schindler's List,1993,3h 15m,
7. The Lord of the Rings: The Return of the King,2003,3h 21m,
8. Pulp Fiction,1994,2h 34m,
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,
10. Il buono, il brutto, il cattivo,1966,2h 41m,
11. Forrest Gump,1994,2h 22m,
12. The Lord of the Rings: The Two Towers,2002,2h 59m,
13. Fight Club,1999,2h 19m,
14. Inception,2010,2h 28m,
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,
16. The Matrix,1999,2h 16m,
17. Goodfellas,1990,2h 25m,
18. One Flew Over the Cuckoo's Nest,1975,2h 13m,
19. Se7en,1995,2h 7m,
20. Interstellar,2014,2h 49m,
21. It's a Wonderful Life,1946,2h 10m,
22. Shichinin no samurai,1954,3h 27m,
23. The Silence of the Lambs,1991,1h 58m,
24. Saving Private Ryan,1998,2h 49m,
25. Dune: Part Two,2024,2h 46m,
26. Cidade de Deus,2002,2h 10m,
27. La vita è bella,1997,1h 56m,
28. The Green Mile,1999,3h 9m,
29. Terminator 2: Judgment Day,1991,2h 17m,
30. Star Wars,1977,2h 1m,
31. Back to the Future,1985,1h 56m,
32. Sen to Chihiro no kamikakushi,2001,2h 5m,
33. The Pianist,2002,2h 30m,
34. Gisaengchung,2019,2h 12m,
35. Psycho,1960,1h 49m,
36. Spider-Man: Across the Spider-Verse,2023,2h 20m,
37. Gladiator,2000,2h 35m,
38. The Lion King,1994,1h 28m,
39. The Departed,2006,2h 31m,
40. Léon,1994,1h 50m,
41. American History X,1998,1h 59m,
42. Whiplash,2014,1h 46m,
43. The Prestige,2006,2h 10m,
44. Hotaru no haka,1988,1h 29m,
45. Seppuku,1962,2h 13m,
46. The Usual Suspects,1995,1h 46m,
47. Casablanca,1942,1h 42m,
48. Intouchables,2011,1h 52m,
49. Nuovo Cinema Paradiso,1988,2h 54m,
50. Modern Times,1936,1h 27m,
51. Rear Window,1954,1h 52m,
52. C'era una volta il West,1968,2h 46m,
53. Alien,1979,1h 57m,
54. City Lights,1931,1h 27m,
55. Django Unchained,2012,2h 45m,
56. Apocalypse Now,1979,2h 27m,
57. Memento,2000,1h 53m,
58. 12th Fail,2023,2h 27m,
59. WALL·E,2008,1h 38m,
60. Raiders of the Lost Ark,1981,1h 55m,
61. Das Leben der Anderen,2006,2h 17m,
62. Sunset Blvd.,1950,1h 50m,
63. Avengers: Infinity War,2018,2h 29m,
64. Paths of Glory,1957,1h 28m,
65. Spider-Man: Into the Spider-Verse,2018,1h 57m,
66. Witness for the Prosecution,1957,1h 56m,
67. The Shining,1980,2h 26m,
68. The Great Dictator,1940,2h 5m,
69. Aliens,1986,2h 17m,
70. Inglourious Basterds,2009,2h 33m,
71. The Dark Knight Rises,2012,2h 44m,
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,
73. American Beauty,1999,2h 2m,
74. Coco,2017,1h 45m,
75. Oldeuboi,2003,2h,
76. Amadeus,1984,2h 40m,
77. Toy Story,1995,1h 21m,
78. Das Boot,1981,2h 29m,
79. Avengers: Endgame,2019,3h 1m,
80. Braveheart,1995,2h 58m,
81. Good Will Hunting,1997,2h 6m,
82. Mononoke-hime,1997,2h 14m,
83. Joker,2019,2h 2m,
84. Kimi no na wa.,2016,1h 46m,
85. Tengoku to jigoku,1963,2h 23m,
86. Once Upon a Time in America,1984,3h 49m,
87. 3 Idiots,2009,2h 50m,
88. Singin' in the Rain,1952,1h 43m,
89. Capharnaüm,2018,2h 6m,
90. Idi i smotri,1985,2h 22m,
91. Requiem for a Dream,2000,1h 42m,
92. Toy Story 3,2010,1h 43m,
93. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,
94. Eternal Sunshine of the Spotless Mind,2004,1h 48m,
95. Jagten,2012,1h 55m,
96. 2001: A Space Odyssey,1968,2h 29m,
97. Oppenheimer,2023,3h,
98. Reservoir Dogs,1992,1h 39m,
99. Ikiru,1952,2h 23m,
100. Lawrence of Arabia,1962,3h 38m,
101. The Apartment,1960,2h 5m,
102. North by Northwest,1959,2h 16m,
103. Incendies,2010,2h 11m,
104. Citizen Kane,1941,1h 59m,
105. M - Eine Stadt sucht einen Mörder,1931,1h 57m,
106. Vertigo,1958,2h 8m,
107. Double Indemnity,1944,1h 47m,
108. Scarface,1983,2h 50m,
109. Full Metal Jacket,1987,1h 56m,
110. Le fabuleux destin d'Amélie Poulain,2001,2h 2m,
111. Heat,1995,2h 50m,
112. A Clockwork Orange,1971,2h 16m,
113. Up,2009,1h 36m,
114. To Kill a Mockingbird,1962,2h 9m,
115. The Sting,1973,2h 9m,
116. Jodaeiye Nader az Simin,2011,2h 3m,
117. Indiana Jones and the Last Crusade,1989,2h 7m,
118. Die Hard,1988,2h 12m,
119. Metropolis,1927,2h 33m,
120. Taare Zameen Par,2007,2h 42m,
121. Snatch,2000,1h 44m,
122. Hamilton,2020,2h 40m,
123. L.A. Confidential,1997,2h 18m,
124. 1917,2019,1h 59m,
125. Ladri di biciclette,1948,1h 29m,
126. Taxi Driver,1976,1h 54m,
127. Der Untergang,2004,2h 36m,
128. Dangal,2016,2h 41m,
129. Per qualche dollaro in più,1965,2h 12m,
130. Batman Begins,2005,2h 20m,
131. The Wolf of Wall Street,2013,3h,
132. Some Like It Hot,1959,2h 1m,
133. Green Book,2018,2h 10m,
134. The Kid,1921,1h 8m,
135. The Father,2020,1h 37m,
136. Judgment at Nuremberg,1961,2h 59m,
137. The Truman Show,1998,1h 43m,
138. All About Eve,1950,2h 18m,
139. Top Gun: Maverick,2022,2h 10m,
140. Shutter Island,2010,2h 18m,
141. There Will Be Blood,2007,2h 38m,
142. Casino,1995,2h 58m,
143. Jurassic Park,1993,2h 7m,
144. Ran,1985,2h 40m,
145. The Sixth Sense,1999,1h 47m,
146. El laberinto del fauno,2006,1h 58m,
147. Unforgiven,1992,2h 10m,
148. No Country for Old Men,2007,2h 2m,
149. A Beautiful Mind,2001,2h 15m,
150. The Thing,1982,1h 49m,
151. Kill Bill: Vol. 1,2003,1h 51m,
152. The Treasure of the Sierra Madre,1948,2h 6m,
153. Yôjinbô,1961,1h 50m,
154. Monty Python and the Holy Grail,1975,1h 31m,
155. The Great Escape,1963,2h 52m,
156. Finding Nemo,2003,1h 40m,
157. Prisoners,2013,2h 33m,
158. Rashômon,1950,1h 28m,
159. Hauru no ugoku shiro,2004,1h 59m,
160. The Elephant Man,1980,2h 4m,
161. Chinatown,1974,2h 10m,
162. Dial M for Murder,1954,1h 45m,
163. Gone with the Wind,1939,3h 58m,
164. V for Vendetta,2005,2h 12m,
165. Lock, Stock and Two Smoking Barrels,1998,1h 47m,
166. El secreto de sus ojos,2009,2h 9m,
167. Inside Out,2015,1h 35m,
168. Raging Bull,1980,2h 9m,
169. Three Billboards Outside Ebbing, Missouri,2017,1h 55m,
170. Trainspotting,1996,1h 33m,
171. The Bridge on the River Kwai,1957,2h 41m,
172. Klaus,2019,1h 36m,
173. Fargo,1996,1h 38m,
174. Spider-Man: No Way Home,2021,2h 28m,
175. Catch Me If You Can,2002,2h 21m,
176. Warrior,2011,2h 20m,
177. Gran Torino,2008,1h 56m,
178. Tonari no Totoro,1988,1h 26m,
179. Million Dollar Baby,2004,2h 12m,
180. Harry Potter and the Deathly Hallows - Part 2,2011,2h 10m,
181. Bacheha-Ye aseman,1997,1h 29m,
182. 12 Years a Slave,2013,2h 14m,
183. Blade Runner,1982,1h 57m,
184. Before Sunrise,1995,1h 41m,
185. Ben-Hur,1959,3h 32m,
186. Barry Lyndon,1975,3h 5m,
187. The Grand Budapest Hotel,2014,1h 39m,
188. Gone Girl,2014,2h 29m,
189. Hacksaw Ridge,2016,2h 19m,
190. The Gold Rush,1925,1h 35m,
191. Salinui chueok,2003,2h 11m,
192. In the Name of the Father,1993,2h 13m,
193. Dead Poets Society,1989,2h 8m,
194. Mad Max: Fury Road,2015,2h,
195. Relatos salvajes,2014,2h 2m,
196. The Deer Hunter,1978,3h 3m,
197. The General,1926,1h 18m,
198. On the Waterfront,1954,1h 48m,
199. Monsters, Inc.,2001,1h 32m,
200. Sherlock Jr.,1924,45m,
201. Jaws,1975,2h 4m,
202. How to Train Your Dragon,2010,1h 38m,
203. The Third Man,1949,1h 44m,
204. Le salaire de la peur,1953,2h 11m,
205. Smultronstället,1957,1h 31m,
206. Mary and Max.,2009,1h 32m,
207. Mr. Smith Goes to Washington,1939,2h 9m,
208. Ratatouille,2007,1h 51m,
209. Ford v Ferrari,2019,2h 32m,
210. Tôkyô monogatari,1953,2h 16m,
211. The Big Lebowski,1998,1h 57m,
212. Room,2015,1h 58m,
213. Det sjunde inseglet,1957,1h 36m,
214. Rocky,1976,2h,
215. Logan,2017,2h 17m,
216. Spotlight,2015,2h 9m,
217. Hotel Rwanda,2004,2h 1m,
218. The Terminator,1984,1h 47m,
219. Platoon,1986,2h,
220. La passion de Jeanne d'Arc,1928,1h 50m,
221. La haine,1995,1h 38m,
222. Before Sunset,2004,1h 20m,
223. The Best Years of Our Lives,1946,2h 50m,
224. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,
225. The Exorcist,1973,2h 2m,
226. Rush,2013,2h 3m,
227. Network,1976,2h 1m,
228. Jai Bhim,2021,2h 44m,
229. Stand by Me,1986,1h 29m,
230. The Wizard of Oz,1939,1h 42m,
231. The Incredibles,2004,1h 55m,
232. Hachi: A Dog's Tale,2009,1h 33m,
233. Ah-ga-ssi,2016,2h 25m,
234. Into the Wild,2007,2h 28m,
235. Babam ve Oglum,2005,1h 52m,
236. The Sound of Music,1965,2h 52m,
237. La battaglia di Algeri,1966,2h 1m,
238. To Be or Not to Be,1942,1h 39m,
239. The Grapes of Wrath,1940,2h 9m,
240. Groundhog Day,1993,1h 41m,
241. Amores perros,2000,2h 34m,
242. Rebecca,1940,2h 10m,
243. The Iron Giant,1999,1h 26m,
244. Cool Hand Luke,1967,2h 7m,
245. The Help,2011,2h 26m,
246. It Happened One Night,1934,1h 45m,
247. Aladdin,1992,1h 30m,
248. Drishyam,2015,2h 43m,
249. Dances with Wolves,1990,3h 1m,
250. Andhadhun,2018,2h 19m,
